t,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6
2.670999999999817,0.0,0.0,0.05040000000000679,0.0,2.1476566065502128e-14,0.0,0.0,0.0,5.4772691277908346e-15,0.0,1.6360509034381445e-14,0.0
2.6719999999998167,0.0,0.0,0.050400000000006794,0.0,2.1492933451864806e-14,0.0,0.0,0.0,5.479463041427575e-15,0.0,1.6374263690974995e-14,0.0
2.6729999999998166,0.0,0.0,0.0504000000000068,0.0,2.150931459288408e-14,0.0,0.0,0.0,5.4816569550643156e-15,0.0,1.6388018347568546e-14,0.0
2.6739999999998165,0.0,0.0,0.05040000000000681,0.0,2.1525709488559942e-14,0.0,0.0,0.0,5.483850868701056e-15,0.0,1.6401773004162097e-14,0.0
2.6749999999998164,0.0,0.0,0.050400000000006814,0.0,2.15421181388924e-14,0.0,0.0,0.0,5.486017892154679e-15,0.0,1.641409570384981e-14,0.0
2.6759999999998163,0.0,0.0,0.05040000000000682,0.0,2.155853481605383e-14,0.0,0.0,0.0,5.4880504646927154e-15,0.0,1.6419258619008328e-14,0.0
2.676999999999816,0.0,0.0,0.05040000000000683,0.0,2.157495665613042e-14,0.0,0.0,0.0,5.490083037230752e-15,0.0,1.6424421534166847e-14,0.0
2.677999999999816,0.0,0.0,0.050400000000006835,0.0,2.1591383659122165e-14,0.0,0.0,0.0,5.492115609768788e-15,0.0,1.6429584449325366e-14,0.0
2.678999999999816,0.0,0.0,0.05040000000000684,0.0,2.1607815825029068e-14,0.0,0.0,0.0,5.494148182306824e-15,0.0,1.6434747364483885e-14,0.0
2.679999999999816,0.0,0.0,0.05040000000000685,0.0,2.162425315385113e-14,0.0,0.0,0.0,5.4962076450279776e-15,0.0,1.6441342236548243e-14,0.0
2.6809999999998158,0.0,0.0,0.050400000000006856,0.0,2.1640701373415974e-14,0.0,0.0,0.0,5.498401558664718e-15,0.0,1.6455096893141794e-14,0.0
2.6819999999998156,0.0,0.0,0.05040000000000686,0.0,2.1657163347637413e-14,0.0,0.0,0.0,5.500595472301459e-15,0.0,1.6468851549735345e-14,0.0
2.6829999999998155,0.0,0.0,0.05040000000000687,0.0,2.1673636212601632e-14,0.0,0.0,0.0,5.502654935022612e-15,0.0,1.6475446421799703e-14,0.0
2.6839999999998154,0.0,0.0,0.05040000000000688,0.0,2.169011424048101e-14,0.0,0.0,0.0,5.504687507560648e-15,0.0,1.6480609336958222e-14,0.0
2.6849999999998153,0.0,0.0,0.050400000000006884,0.0,2.170659743127555e-14,0.0,0.0,0.0,5.5067200800986846e-15,0.0,1.648577225211674e-14,0.0
2.685999999999815,0.0,0.0,0.05040000000000689,0.0,2.1723085784985245e-14,0.0,0.0,0.0,5.508752652636721e-15,0.0,1.649093516727526e-14,0.0
2.686999999999815,0.0,0.0,0.0504000000000069,0.0,2.17395793016101e-14,0.0,0.0,0.0,5.510785225174757e-15,0.0,1.649609808243378e-14,0.0
2.687999999999815,0.0,0.0,0.050400000000006905,0.0,2.1756077981150115e-14,0.0,0.0,0.0,5.512817797712793e-15,0.0,1.6501260997592298e-14,0.0
2.688999999999815,0.0,0.0,0.05040000000000691,0.0,2.1772581823605287e-14,0.0,0.0,0.0,5.514850370250829e-15,0.0,1.6506423912750817e-14,0.0
2.6899999999998148,0.0,0.0,0.05040000000000692,0.0,2.178909369288943e-14,0.0,0.0,0.0,5.5170173937044525e-15,0.0,1.651874661243853e-14,0.0
2.6909999999998147,0.0,0.0,0.050400000000006925,0.0,2.1805616452916352e-14,0.0,0.0,0.0,5.519076856425606e-15,0.0,1.6525341484502887e-14,0.0
2.6919999999998145,0.0,0.0,0.05040000000000693,0.0,2.1822144375858434e-14,0.0,0.0,0.0,5.521109428963642e-15,0.0,1.6530504399661406e-14,0.0
2.6929999999998144,0.0,0.0,0.05040000000000694,0.0,2.1838677461715674e-14,0.0,0.0,0.0,5.5231420015016785e-15,0.0,1.6535667314819925e-14,0.0
2.6939999999998143,0.0,0.0,0.050400000000006946,0.0,2.1855215710488074e-14,0.0,0.0,0.0,5.525174574039715e-15,0.0,1.6540830229978444e-14,0.0
